aaa,9535353,9431,42,130
aab,9730647,9171,67,105
aac,9974707,9176,126,261
aad,9539225,8387,94,211
aae,9919084,8236,51,123
aaf,9648017,8722,291,425
aag,9952037,9625,160,280
aba,9821154,9493,46,92
abb,9996822,8339,300,532
abc,9962766,9004,140,202
abd,9977249,11655,39,168
abe,9956153,8334,182,292
abf,9669262,9948,56,135
abg,9565335,9368,13,40
aca,9975385,9019,18,50
acb,9825080,6563,23,59
acc,9750793,8941,170,215
acd,9956128,9493,88,223
ace,9903110,8116,5,6
acf,9947133,8559,19,49
acg,9984494,8857,153,315
ada,9954015,8697,63,224
adb,9936681,8019,33,59
adc,9821617,8436,117,386
add,9722871,7533,9,22
ade,9987577,6998,6,14
adf,9951257,10541,121,299
adg,9903624,7135,72,162
aea,9962157,10243,100,147
aeb,9721709,9179,136,231
aec,9670897,9466,106,217
aed,9992441,8152,67,187
aee,9977883,6811,59,120
aef,9931462,8596,55,112
aeg,9887456,7634,130,257
afa,9950016,8653,118,215
afb,9842762,10981,25,105
afc,9338249,7627,161,270
afd,9846650,10270,149,358
afe,9739347,8467,6,16
aff,9911371,8396,93,269
afg,9599643,10124,86,151
aga,9910143,7219,66,118
agb,9977135,10080,92,170
agc,9686097,8669,53,122
agd,9966023,8376,8,25
age,9891761,8724,56,79
agf,9622505,9873,5,6
agg,9919539,10186,111,233
baa,9805476,8316,264,464
bab,9920890,8587,60,102
bac,9989643,9011,185,317
bad,9999079,7946,153,242
bae,9954351,9923,127,205
baf,9948087,9193,46,115
bag,9737127,8632,85,135
bba,9795393,9505,155,448
bbb,9916210,8339,287,469
bbc,9855836,9043,154,257
bbd,9729802,8826,126,192
bbe,9765973,8839,122,198
bbf,9992958,10085,109,228
bbg,9997874,9784,34,138
bca,9982731,8864,77,120
bcb,9976348,10092,63,227
bcc,9793183,8937,120,215
bcd,9785037,9351,57,139
bce,9932292,8519,113,214
bcf,9982820,7935,334,627
bcg,9975204,10469,180,323
bda,9832250,10058,47,127
bdb,9905510,8364,12,46
bdc,9342219,8413,97,196
bdd,9762301,9350,111,327
bde,9836805,10925,221,554
bdf,9796992,9938,9,47
bdg,9605623,8018,384,580
bea,9901096,8354,96,172
beb,9788395,9114,236,388
bec,9937986,10255,44,138
bed,9678910,10187,329,601
bee,9534780,8313,69,231
bef,9964918,9865,29,91
beg,9749354,8443,14,58
bfa,9996840,8747,66,125
bfb,9642332,9768,138,337
bfc,9909818,10465,235,378
bfd,9997340,10016,138,213
bfe,9618411,8800,53,84
bff,9602537,8689,233,446
bfg,9625436,8219,8,26
bga,9742998,9896,59,105
bgb,9966923,9878,147,235
bgc,9989800,9002,96,134
bgd,9788819,8112,6,21
bge,9854383,8553,49,292
bgf,9941372,8732,87,160
bgg,9885850,8227,78,193
caa,9627895,9763,5,7
cab,9912047,8099,49,76
cac,9862989,9367,135,311
cad,9907271,9076,250,392
cae,9888437,7972,128,297
caf,9429296,9207,11,43
cag,9951327,11794,76,258
cba,9994100,8839,103,157
cbb,9605161,9445,142,222
cbc,9469036,10449,58,103
cbd,9957063,10293,58,194
cbe,9923944,7310,9,35
cbf,9925520,9733,60,160
cbg,9849613,9614,21,58
cca,9546661,8652,131,225
ccb,9886798,9386,140,283
ccc,9556420,9859,37,110
ccd,9939743,9757,34,107
cce,9767809,9628,209,331
ccf,9935455,9463,72,149
ccg,9976848,11046,316,515
cda,9975431,8695,155,294
cdb,9984725,8772,251,415
cdc,9941201,7703,304,462
cdd,9874723,6949,7,18
cde,9853188,8097,242,369
cdf,9800294,7607,159,278
cdg,9869741,9482,238,351
cea,9791766,9889,113,209
ceb,9972685,9895,60,106
cec,9843565,8516,271,456
ced,9887921,9849,5,8
cee,9989050,9144,78,107
cef,9888258,9610,224,345
ceg,9949384,7259,125,175
cfa,9948463,9487,84,213
cfb,9755193,9416,536,841
cfc,9992349,9940,10,23
cfd,9982836,9464,128,296
cfe,9980411,10262,82,297
cff,9399697,7837,33,59
cfg,9995149,9542,5,6
cga,9925812,8339,201,351
cgb,9466015,7867,260,560
cgc,9618020,8943,146,208
cgd,9664737,7510,10,23
cge,9916912,7985,5,9
cgf,9922958,9417,37,105
cgg,9900242,9182,40,57
daa,9827158,11000,125,215
dab,9943736,8708,5,18
dac,9755936,9663,103,251
dad,9627024,8502,103,185
dae,9977600,9415,37,71
daf,8823533,9812,36,58
dag,9774441,9367,59,107
dba,9569640,10984,97,205
dbb,9863472,10185,51,80
dbc,9676739,9286,77,289
dbd,9742828,10305,58,162
dbe,9982096,9448,30,66
dbf,9917113,7874,130,236
dbg,9712623,8011,5,6
dca,9917888,9477,436,664
dcb,9895893,7703,124,219
dcc,9990510,7570,182,304
dcd,9858796,7697,191,334
dce,9725916,8410,95,175
dcf,9917093,8718,19,61
dcg,9683226,9350,10,35
dda,9425163,9707,22,48
ddb,9997037,8077,152,338
ddc,9920046,9873,25,86
ddd,9949573,8085,27,44
dde,9959695,9109,144,306
ddf,9953537,8001,142,267
ddg,9914397,8268,19,40
dea,9830836,7121,145,321
deb,9820782,8269,33,61
dec,9701793,8726,143,289
ded,9801933,8877,229,360
dee,9926614,8733,49,114
def,9671683,7693,5,8
deg,9938039,8084,90,149
dfa,9778528,7917,26,92
dfb,9905967,8662,92,133
dfc,9574443,7804,342,549
dfd,9937624,8842,41,61
dfe,9720912,8000,356,636
dff,9823307,10071,59,189
dfg,9720795,7125,14,56
dga,9997307,8512,68,136
dgb,9741213,10036,118,275
dgc,9970692,9690,105,272
dgd,9771654,7895,36,132
dge,9865991,8373,101,168
dgf,9955815,10802,42,98
dgg,9816736,9326,68,201
eaa,9987615,10480,127,279
eab,9634982,10339,280,487
eac,9812827,7618,127,186
ead,9912035,7344,72,184
eae,9888428,10622,115,301
eaf,9889365,8222,138,258
eag,9720137,9135,121,238
eba,9782647,8444,177,352
ebb,9805208,9116,53,138
ebc,9856144,9270,148,279
ebd,9938582,9544,131,286
ebe,9876705,9307,93,196
ebf,9704906,8358,95,224
ebg,9955477,9068,5,10
eca,9565987,8923,80,204
ecb,9802869,7566,91,175
ecc,9977131,6718,313,510
ecd,9849673,9062,71,128
ece,9771118,9216,129,264
ecf,9981002,7649,234,404
ecg,9964381,10182,136,249
eda,9937553,8676,79,177
edb,9712365,8718,409,673
edc,9949196,8151,142,297
edd,9925154,7927,347,532
ede,9853692,10178,54,99
edf,9462931,9305,125,278
edg,9960368,9646,153,315
eea,9995458,11366,204,372
eeb,9878134,8226,186,288
eec,9723030,9452,106,196
eed,9700312,7471,9,25
eee,9698429,9281,125,316
eef,9841869,9963,115,236
eeg,9974275,10043,123,385
efa,9999579,7340,92,168
efb,9956225,8633,105,342
efc,9924213,9282,37,78
efd,9997447,9873,73,291
efe,9601309,8934,255,501
eff,9960423,7983,270,396
efg,9967017,9790,211,312
ega,9781645,8751,34,71
egb,9890704,9279,57,120
egc,9793978,10644,104,162
egd,9846978,11127,223,396
ege,9868861,8410,246,391
egf,9533293,7777,405,657
egg,9977197,8131,71,193
faa,9776064,9850,30,47
fab,9854060,8677,58,199
fac,9983482,10239,49,132
fad,9872377,9616,156,244
fae,9697139,9065,59,103
faf,9949706,9919,64,162
fag,9648535,7082,64,187
fba,9674173,10234,92,271
fbb,9981094,7872,9,45
fbc,9697353,9527,94,196
fbd,9777795,10450,185,266
fbe,9636497,7838,337,524
fbf,9987786,6691,447,782
fbg,9955960,6734,139,251
fca,9749053,7852,21,94
fcb,9414317,9703,6,14
fcc,9855410,7560,112,225
fcd,9853267,9264,128,217
fce,9601639,8131,184,327
fcf,9879554,8261,27,69
fcg,9928636,8454,171,291
fda,9488078,11162,132,264
fdb,9726028,8928,105,207
fdc,9711048,9875,113,271
fdd,9973704,8434,71,142
fde,9893313,8818,188,304
fdf,9567334,7964,414,828
fdg,9984952,9722,128,192
fea,9795951,8390,42,70
feb,9831149,9036,31,87
fec,9896648,6524,65,153
fed,9845562,10277,211,328
fee,9800270,9383,45,85
fef,9613345,9293,363,571
feg,9984010,7498,255,337
ffa,9971373,8623,56,120
ffb,9955381,11624,114,168
ffc,9714584,9961,61,101
ffd,9972054,9733,126,275
ffe,9755590,8797,24,53
fff,9830862,7439,120,311
ffg,9846455,9005,23,63
fga,9859220,9204,70,173
fgb,9841887,10368,71,187
fgc,9923370,8873,133,246
fgd,9890764,8883,122,283
fge,9888021,8310,173,333
fgf,9642688,9082,82,241
fgg,9247740,9196,66,156
gaa,9762182,10771,215,318
gab,9970131,8039,134,224
gac,9909438,8446,154,255
gad,9978476,8905,27,51
gae,9955193,9428,238,381
gaf,9641979,8757,336,543
gag,9977174,8248,87,130
gba,9957575,9201,198,315
gbb,8694673,9573,132,268
gbc,9983462,7302,180,279
gbd,9911563,8504,144,223
gbe,9933627,10696,84,212
gbf,9816020,9766,224,472
gbg,9779371,7152,138,231
gca,9992698,9244,552,1025
gcb,9671650,9355,27,125
gcc,9859535,9287,38,62
gcd,9456166,8638,16,54
gce,9734993,8524,145,342
gcf,9808013,7745,87,156
gcg,9875563,9114,215,299
gda,9953252,10840,36,121
gdb,9867209,7929,81,129
gdc,9995178,8660,246,427
gdd,9986421,8176,211,348
gde,9984670,9321,77,211
gdf,9894978,7766,25,51
gdg,9928028,9987,679,1275
gea,9999405,9268,191,474
geb,9976101,9145,133,280
gec,9950806,8751,59,193
ged,9725762,10826,71,152
gee,9552209,9033,81,192
gef,9877389,8752,242,411
geg,9620039,7899,449,1074
gfa,9898915,9317,134,283
gfb,9905461,9321,230,320
gfc,9836507,7888,27,68
gfd,9877051,9183,257,338
gfe,9851028,8311,108,251
gff,9747640,12136,175,367
gfg,9917273,8034,209,317
gga,9797675,10017,35,92
ggb,9391502,10662,62,196
ggc,9326972,9623,84,164
ggd,9938186,8852,166,267
gge,9881057,8954,120,265
ggf,9892589,8447,157,297
ggg,9160965,8895,128,218
